"","iso3c","species_name","prod_method","quantity","distance","ef","emissions_nautical_mile","transport_emissions","rep"
"96","THA","Giant Tiger Prawn","Wild",3418.23457,3756,29.7577278029639,764112330.98237,412620.65873048,4
"97","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,29.7577278029639,131517578.345281,71019.4923064519,4
"98","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,29.7577278029639,4802227990.00613,2593203.11460331,4
"99","THA","Western King Prawn","Wild",54.08972,3756,29.7577278029639,12091218.7812154,6529.25814185631,4
"100","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,29.7577278029639,46361943.8048581,25035.4496546234,4
"101","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,24.8137325949967,12460766.8204428,6728.81408303911,5
"102","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,24.8137325949967,62723217.4156184,33870.5374044339,5
"103","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,24.8137325949967,2920303962.53099,1576964.13976673,5
"104","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,24.8137325949967,22442222.300332,12118.8000421793,5
"105","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,24.8137325949967,29295615.7230274,15819.6324904348,5
"106","IDN","Banana Prawn","Wild",3115.6875,1280,24.8137325949967,197918301.374909,106875.882742451,5
"107","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,24.8137325949967,3828926.79934625,2067.62047164697,5
"108","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,24.8137325949967,125997326.976056,68038.5565670702,5
"109","IND","Giant Tiger Prawn","Wild",448.50117,5419,24.8137325949967,120615973.037805,65132.6254404148,5
"110","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,24.8137325949967,12279717.4771124,6631.04743764071,5
"111","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,24.8137325949967,177780792.144511,96001.6277580361,5
"112","JPY","Kuruma Prawn","Farmed",86.42838,4915,24.8137325949967,21081523.278698,11384.0225704969,5
"113","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,24.8137325949967,68409059.9166714,36940.8923550026,5
"114","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,24.8137325949967,1491620.19338985,805.474904430517,5
"115","PNG","Banana Prawn","Wild",19.83527,856,24.8137325949967,842624.290769007,455.017117015264,5
"116","PNG","Giant Tiger Prawn","Wild",24.10937,856,24.8137325949967,1024192.80388609,553.064114098487,5
"117","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,24.8137325949967,52450892.8858401,28323.4821583537,5
"118","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,24.8137325949967,96794533.3348951,52269.0480008434,5
"119","THA","Banana Prawn","Wild",8781.70757,3756,24.8137325949967,1636916958.59122,883935.157639259,5
"120","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,24.8137325949967,328147393.628601,177199.592559445,5
"121","THA","Giant Tiger Prawn","Wild",3418.23457,3756,24.8137325949967,637161519.154955,344067.220343676,5
"122","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,24.8137325949967,109667043.203355,59220.2033298119,5
"123","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,24.8137325949967,4004378358.22774,2162364.31344298,5
"124","THA","Western King Prawn","Wild",54.08972,3756,24.8137325949967,10082364.8758155,5444.47703294034,5
"125","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,24.8137325949967,38659298.309847,20876.0210873174,5
"126","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,21.6003138672095,10847077.2511648,5857.42171562898,6
"127","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,21.6003138672095,54600458.7480628,29484.2477239539,6
"128","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,21.6003138672095,2542119849.83847,1372744.71891277,6
"129","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,21.6003138672095,19535918.0126977,10549.3957268567,6
"130","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,21.6003138672095,25501785.8408832,13770.9643540769,6
"131","IDN","Banana Prawn","Wild",3115.6875,1280,21.6003138672095,172287559.455082,93035.282105744,6
"132","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,21.6003138672095,3333074.55151367,1799.86025781738,6
"133","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,21.6003138672095,109680468.212227,59227.4528346024,6
"134","IND","Giant Tiger Prawn","Wild",448.50117,5419,21.6003138672095,104996008.361144,56697.8445150178,6
"135","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,21.6003138672095,10689474.092252,5772.31600981608,6
"136","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,21.6003138672095,154757890.421406,83569.2608275593,6
"137","JPY","Kuruma Prawn","Farmed",86.42838,4915,21.6003138672095,18351431.7273886,9909.77313278987,6
"138","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,21.6003138672095,59549975.3978484,32156.9867148381,6
"139","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,21.6003138672095,1298452.95239399,701.164594292754,6
"140","PNG","Banana Prawn","Wild",19.83527,856,21.6003138672095,733503.074681125,396.091660327808,6
"141","PNG","Giant Tiger Prawn","Wild",24.10937,856,21.6003138672095,891558.170048851,481.44141182638,6
"142","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,21.6003138672095,45658416.9516671,24655.5451539002,6
"143","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,21.6003138672095,84259483.8426437,45500.1212750276,6
"144","THA","Banana Prawn","Wild",8781.70757,3756,21.6003138672095,1424933550.193,769464.117104218,6
"145","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,21.6003138672095,285651772.459002,154251.957127861,6
"146","THA","Giant Tiger Prawn","Wild",3418.23457,3756,21.6003138672095,554648066.153099,299509.955722673,6
"147","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,21.6003138672095,95464982.7474542,51551.0906836252,6
"148","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,21.6003138672095,3485804848.16785,1882334.61801064,6
"149","THA","Western King Prawn","Wild",54.08972,3756,21.6003138672095,8776682.22656896,4739.40840234724,6
"150","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,21.6003138672095,33652856.3037369,18172.5424040179,6
"151","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,27.2986138436012,13708605.1171122,7402.64676324061,7
"152","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,27.2986138436012,69004406.5197373,37262.3795206582,7
"153","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,27.2986138436012,3212747210.59685,1734883.4937223,7
"154","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,27.2986138436012,24689617.2522045,13332.3933161904,7
"155","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,27.2986138436012,32229318.9012083,17403.8322066525,7
"156","IDN","Banana Prawn","Wild",3115.6875,1280,27.2986138436012,217738111.794778,117578.58036918,7
"157","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,27.2986138436012,4212360.78573059,2274.67482429452,7
"158","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,27.2986138436012,138614872.279991,74852.0310311949,7
"159","IND","Giant Tiger Prawn","Wild",448.50117,5419,27.2986138436012,132694622.170353,71655.0959719906,7
"160","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,27.2986138436012,13509425.2439798,7295.08963174909,7
"161","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,27.2986138436012,195584004.74345,105615.362561463,7
"162","JPY","Kuruma Prawn","Farmed",86.42838,4915,27.2986138436012,23192655.9624531,12524.0342197247,7
"163","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,27.2986138436012,75259637.0948858,40640.2040312383,7
"164","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,27.2986138436012,1640993.08738733,886.136267189157,7
"165","PNG","Banana Prawn","Wild",19.83527,856,27.2986138436012,927005.844077628,500.583155801919,7
"166","PNG","Giant Tiger Prawn","Wild",24.10937,856,27.2986138436012,1126756.87737197,608.448713780862,7
"167","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,27.2986138436012,57703397.3087687,31159.8345467351,7
"168","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,27.2986138436012,106487670.791362,57503.3422273352,7
"169","THA","Banana Prawn","Wild",8781.70757,3756,27.2986138436012,1800840070.13254,972453.63787157,7
"170","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,27.2986138436012,361008524.137059,194944.603034012,7
"171","THA","Giant Tiger Prawn","Wild",3418.23457,3756,27.2986138436012,700967748.436226,378522.584155562,7
"172","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,27.2986138436012,120649251.470598,65150.5957941229,7
"173","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,27.2986138436012,4405382304.59428,2378906.44448091,7
"174","THA","Western King Prawn","Wild",54.08972,3756,27.2986138436012,11092026.7364641,5989.69443769062,7
"175","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,27.2986138436012,42530693.5175844,22966.5744994956,7
"176","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,11.5282648476306,5789174.18250884,3126.15405855477,8
"177","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,11.5282648476306,29140713.0988656,15735.9850733874,8
"178","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,11.5282648476306,1356750234.44198,732645.126598671,8
"179","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,11.5282648476306,10426479.831567,5630.29910904618,8
"180","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,11.5282648476306,13610512.4707264,7349.67673419223,8
"181","IDN","Banana Prawn","Wild",3115.6875,1280,11.5282648476306,91951284.9470776,49653.6938714219,8
"182","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,11.5282648476306,1778889.25239545,960.600196293542,8
"183","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,11.5282648476306,58537366.351984,31610.1778300714,8
"184","IND","Giant Tiger Prawn","Wild",448.50117,5419,11.5282648476306,56037231.6704527,30260.1051020445,8
"185","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,11.5282648476306,5705060.08268884,3080.73244465197,8
"186","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,11.5282648476306,82595556.6667446,44601.6006000421,8
"187","JPY","Kuruma Prawn","Farmed",86.42838,4915,11.5282648476306,9794309.77656804,5288.92727934674,8
"188","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,11.5282648476306,31782310.769958,17162.4478157773,8
"189","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,11.5282648476306,692995.000878644,374.217300474468,8
"190","PNG","Banana Prawn","Wild",19.83527,856,11.5282648476306,391476.612953857,211.397370995083,8
"191","PNG","Giant Tiger Prawn","Wild",24.10937,856,11.5282648476306,475831.914970219,256.949234083918,8
"192","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,11.5282648476306,24368271.9787426,13158.866868521,8
"193","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,11.5282648476306,44969978.2898636,24283.7882765264,8
"194","THA","Banana Prawn","Wild",8781.70757,3756,11.5282648476306,760498734.318698,410669.316532097,8
"195","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,11.5282648476306,152454696.137614,82325.5359143113,8
"196","THA","Giant Tiger Prawn","Wild",3418.23457,3756,11.5282648476306,296020226.518363,159850.922319916,8
